date,risk_parity,equal_weight
2021-12-20,100000.0,100000.0
2021-12-21,100000.0,101846.30588875123
2021-12-22,100000.0,102773.01022251851
2021-12-23,100000.0,103162.35896134828
2021-12-27,100000.0,104906.34757920114
2021-12-28,100000.0,104658.80380270584
2021-12-29,100000.0,104612.72720120785
2021-12-30,100000.0,104077.20081208575
2021-12-31,100000.0,103873.60121437626
2022-01-03,100000.0,105699.35582737288
2022-01-04,100000.0,106467.10975476576
2022-01-05,100000.0,104604.83481207916
2022-01-06,100000.0,105110.1992310866
2022-01-07,100000.0,105390.6282649893
2022-01-10,100000.0,105098.16870474511
2022-01-11,100000.0,105897.50614140912
2022-01-12,100000.0,106014.71877802101
2022-01-13,100000.0,104248.69390590869
2022-01-14,100000.0,103980.89140740142
2022-01-18,100000.0,101836.14286748535
2022-01-19,100000.0,101432.52791489955
2022-01-20,100000.0,100395.21073730483
2022-01-21,100000.0,98983.83128949192
2022-01-24,100000.0,98687.06958185165
2022-01-25,100000.0,98624.4378309562
2022-01-26,100000.0,99283.35406288294
2022-01-27,100000.0,98990.0060581762
2022-01-28,100000.0,101145.60596168546
2022-01-31,100000.0,102891.72824459783
2022-02-01,100766.59800778977,103973.36202256379
2022-02-02,101617.30164897486,104806.15470310967
2022-02-03,100541.3278903786,103138.91674277547
2022-02-04,101310.42752006883,104340.27830385434
2022-02-07,101201.99266871499,104413.39384029174
2022-02-08,101750.21320588175,105158.7886342862
2022-02-09,102274.7844304626,106181.596243708
2022-02-10,100743.33994943881,104446.89969138574
2022-02-11,99364.43295181551,102571.19747660356
2022-02-14,98865.1974592985,102184.05122958052
2022-02-15,100183.47874412849,104154.0946688372
2022-02-16,100308.42172627462,104246.54700495244
2022-02-17,98740.40097402704,101912.48962254937
2022-02-18,97873.71887835998,100898.06400434396
2022-02-22,96870.50147088597,99924.11662307671
2022-02-23,95517.2554722958,98167.68525875891
2022-02-24,95002.8705759427,98360.3926662626
2022-02-25,97966.92723802319,101003.38990537243
2022-02-28,97109.52567532715,100247.48334494444
2022-03-01,95499.66727052421,98379.93369716675
2022-03-02,97021.96817918446,100098.34789284968
2022-03-03,96828.38745338756,99660.49008089927
2022-03-04,95995.6468199575,98571.15916901175
2022-03-07,94128.57014336785,96161.18430474485
2022-03-08,93057.30657795008,95345.53779572195
2022-03-09,95194.94831136633,97902.74533275662
2022-03-10,94339.7013560396,97088.57943542846
2022-03-11,93037.19466339765,95661.41653134697
2022-03-14,92691.00589601973,95038.83398366846
2022-03-15,94497.15672723703,97123.37964862389
2022-03-16,96173.84507151849,99310.94565574061
2022-03-17,97119.58964360828,100318.50899233508
2022-03-18,97725.36416638717,101419.03909592843
2022-03-21,98470.84979873808,102238.65607085232
2022-03-22,99548.76927496078,103267.01911358182
2022-03-23,98816.48091884224,102235.33239191362
2022-03-24,100085.48325970306,104179.86496839488
2022-03-25,100920.50342157645,104871.97440467363
2022-03-28,101086.0691895556,105129.32451140978
2022-03-29,101739.36256635147,105837.6705495565
2022-03-30,101477.48543517338,105317.8389781119
2022-03-31,99494.32290406548,103223.13657318283
2022-04-01,99650.92122768098,103126.2923152112
2022-04-04,100021.02402864167,103808.57727107384
2022-04-05,99094.57807495003,102314.09686049356
2022-04-06,98740.1728457212,101198.38578836204
2022-04-07,98973.88076152434,101402.61573747797
2022-04-08,99041.63722417886,101209.38120950366
2022-04-11,97238.24877863958,99015.83151987036
2022-04-12,97061.76343357166,98744.4040052277
2022-04-13,97471.88925723762,99344.0488654572
2022-04-14,96062.04617493546,97616.1810827943
2022-04-18,96390.31199374098,98405.39234013458
2022-04-19,98105.37071591812,99955.21175787585
2022-04-20,98551.27625627717,100074.26676655751
2022-04-21,97393.17901337871,98433.46373174303
2022-04-22,95375.72988390006,96112.8737909976
2022-04-25,96147.39793990618,96622.8634067093
2022-04-26,93988.99799215155,94127.83853519654
2022-04-27,94119.81531173614,94365.42412401427
2022-04-28,96425.80417522909,97154.04568423626
2022-04-29,93664.2743764902,93996.16751047921
2022-05-02,94210.40978161772,95079.49706452318
2022-05-03,94833.15651123779,95762.2985152905
2022-05-04,97396.17410750545,98617.6661154666
2022-05-05,94503.57516576514,95188.12982070638
2022-05-06,94670.93752788288,95234.19359052532
2022-05-09,92106.31674195292,91873.7827620177
2022-05-10,92073.14533949594,92236.95463449508
2022-05-11,90761.96400453956,90505.16652924013
2022-05-12,90040.49013019145,89498.92178831712
2022-05-13,91569.73223176347,91686.7843865494
2022-05-16,91671.91432261765,91559.03944441066
2022-05-17,93350.06111221772,93616.48899617732
2022-05-18,89881.61092078725,89906.74029841981
2022-05-19,88881.1726691046,89108.57582537776
2022-05-20,88819.55068332847,88830.47154758032
2022-05-23,91793.65234453614,91768.48710173812
2022-05-24,91976.22593161235,91480.98957878182
2022-05-25,92288.40019918059,92274.00978034853
2022-05-26,93567.35565207749,93883.20384517018
2022-05-27,95315.39977697309,95995.89689400693
2022-05-31,94904.15231581878,95562.36394141278
2022-06-01,94206.32634580294,94898.05084008581
2022-06-02,95026.14831503677,96285.57704945373
2022-06-03,93920.9779189779,94768.4107106423
2022-06-06,93799.79608487507,94686.64611312332
2022-06-07,95101.35041716586,96049.21555301572
2022-06-08,94385.63038370464,95298.03009995229
2022-06-09,92094.2130873471,92818.11978951444
2022-06-10,89709.22334886983,89845.18563655925
2022-06-13,86896.88979809082,86407.85220221992
2022-06-14,86031.6603054802,85866.7212929428
2022-06-15,86973.30027488292,87071.48888708599
2022-06-16,85642.88017630207,85152.7583677629
2022-06-17,85188.50076528804,84838.93943323716
2022-06-21,87815.9950052831,87680.42959939889
