symbol,Date,Open,High,Low,Close,Volume,Adj Close,dividends,Ticker
SPY,2021-12-20,454.4800109863281,455.3999938964844,451.1400146484375,454.9800109863281,107134800,431.6461181640625,0.0,SPY
SPY,2021-12-21,458.6099853515625,463.2099914550781,456.30999755859375,463.05999755859375,69806300,439.31170654296875,0.0,SPY
SPY,2021-12-22,462.7900085449219,467.80999755859375,462.5799865722656,467.69000244140625,58890200,443.7042541503906,0.0,SPY
SPY,2021-12-23,468.75,472.19000244140625,468.6400146484375,470.6000061035156,56439700,446.465087890625,0.0,SPY
SPY,2021-12-27,472.05999755859375,477.30999755859375,472.010009765625,477.260009765625,56808600,452.7834777832031,0.0,SPY
SPY,2021-12-28,477.7200012207031,478.80999755859375,476.05999755859375,476.8699951171875,47274600,452.4134216308594,0.0,SPY
SPY,2021-12-29,476.9800109863281,478.55999755859375,475.9200134277344,477.4800109863281,54503000,452.9922180175781,0.0,SPY
SPY,2021-12-30,477.92999267578125,479.0,475.6700134277344,476.1600036621094,55329000,451.7398681640625,0.0,SPY
SPY,2021-12-31,475.6400146484375,476.8599853515625,474.6700134277344,474.9599914550781,65237400,450.6013488769531,0.0,SPY
SPY,2022-01-03,476.29998779296875,477.8500061035156,473.8500061035156,477.7099914550781,72668200,453.21038818359375,0.0,SPY
SPY,2022-01-04,479.2200012207031,479.9800109863281,475.5799865722656,477.54998779296875,71178700,453.05859375,0.0,SPY
SPY,2022-01-05,477.1600036621094,477.9800109863281,468.2799987792969,468.3800048828125,104538900,444.3589172363281,0.0,SPY
SPY,2022-01-06,467.8900146484375,470.82000732421875,465.42999267578125,467.94000244140625,86858900,443.9414978027344,0.0,SPY
SPY,2022-01-07,467.95001220703125,469.20001220703125,464.6499938964844,466.0899963378906,85111600,442.18634033203125,0.0,SPY
SPY,2022-01-10,462.70001220703125,465.739990234375,456.6000061035156,465.510009765625,119362000,441.63604736328125,0.0,SPY
SPY,2022-01-11,465.2300109863281,469.8500061035156,462.04998779296875,469.75,74303100,445.6586608886719,0.0,SPY
SPY,2022-01-12,471.5899963378906,473.20001220703125,468.94000244140625,471.0199890136719,67605400,446.86346435546875,0.0,SPY
SPY,2022-01-13,472.19000244140625,472.8800048828125,463.44000244140625,464.5299987792969,91173100,440.7063293457031,0.0,SPY
SPY,2022-01-14,461.19000244140625,465.0899963378906,459.8999938964844,464.7200012207031,95890900,440.8865966796875,0.0,SPY
SPY,2022-01-18,459.739990234375,459.9599914550781,455.30999755859375,456.489990234375,109709100,433.07867431640625,0.0,SPY
SPY,2022-01-19,458.1300048828125,459.6099853515625,451.4599914550781,451.75,109357600,428.58172607421875,0.0,SPY
SPY,2022-01-20,453.75,458.739990234375,444.5,446.75,122379700,423.8382263183594,0.0,SPY
SPY,2022-01-21,445.55999755859375,448.05999755859375,437.95001220703125,437.9800109863281,202271200,415.5179748535156,0.0,SPY
SPY,2022-01-24,432.0299987792969,440.3800048828125,420.760009765625,439.8399963378906,251783900,417.2825622558594,0.0,SPY
SPY,2022-01-25,433.05999755859375,439.7200012207031,427.1499938964844,434.4700012207031,167997300,412.1880187988281,0.0,SPY
SPY,2022-01-26,440.7200012207031,444.0400085449219,428.8599853515625,433.3800048828125,186391100,411.15399169921875,0.0,SPY
SPY,2022-01-27,438.260009765625,441.5899963378906,429.45001220703125,431.239990234375,149878300,409.1236267089844,0.0,SPY
SPY,2022-01-28,432.67999267578125,442.0,427.82000732421875,441.95001220703125,164457400,419.2843017578125,0.0,SPY
SPY,2022-01-31,441.239990234375,450.2799987792969,439.80999755859375,449.9100036621094,152251400,426.8360900878906,0.0,SPY
SPY,2022-02-01,450.67999267578125,453.6300048828125,446.94000244140625,452.95001220703125,123155400,429.72027587890625,0.0,SPY
SPY,2022-02-02,455.5,458.1199951171875,453.04998779296875,457.3500061035156,117361000,433.89459228515625,0.0,SPY
SPY,2022-02-03,450.95001220703125,452.9700012207031,445.7099914550781,446.6000061035156,118024400,423.6958923339844,0.0,SPY
SPY,2022-02-04,446.3500061035156,452.7799987792969,443.8299865722656,448.70001220703125,118454400,425.688232421875,0.0,SPY
SPY,2022-02-07,449.510009765625,450.989990234375,445.8500061035156,447.260009765625,84472900,424.32208251953125,0.0,SPY
