Date,Open,High,Low,Close,Volume,Adj Close,dividends,Ticker
2021-12-20,259.6300048828125,261.9599914550781,258.42999267578125,261.7300109863281,2824500,238.83558654785156,0.0,MCD
2021-12-21,264.2900085449219,266.4800109863281,263.4200134277344,264.3900146484375,2851800,241.262939453125,0.0,MCD
2021-12-22,264.32000732421875,265.44000244140625,264.07000732421875,264.94000244140625,1795100,241.7648162841797,0.0,MCD
2021-12-23,265.9200134277344,267.3699951171875,265.45001220703125,265.95001220703125,1509800,242.68646240234375,0.0,MCD
2021-12-27,266.4700012207031,268.260009765625,266.0,268.239990234375,1485500,244.77610778808594,0.0,MCD
2021-12-28,267.5799865722656,269.2200012207031,267.25,267.8800048828125,1304000,244.4476776123047,0.0,MCD
2021-12-29,268.45001220703125,269.7200012207031,267.95001220703125,268.489990234375,1318500,245.00428771972656,0.0,MCD
2021-12-30,269.0,269.260009765625,266.70001220703125,267.2099914550781,1714600,243.8362579345703,0.0,MCD
2021-12-31,268.0,269.1199951171875,267.2099914550781,268.07000732421875,1519200,244.62107849121094,0.0,MCD
2022-01-03,269.489990234375,270.7300109863281,265.55999755859375,268.5799865722656,2750600,245.08644104003906,0.0,MCD
2022-01-04,269.5,271.1499938964844,268.2699890136719,268.510009765625,2506000,245.0225372314453,0.0,MCD
2022-01-05,269.29998779296875,270.2799987792969,266.8999938964844,267.19000244140625,2473000,243.81797790527344,0.0,MCD
2022-01-06,268.1199951171875,270.760009765625,267.79998779296875,269.69000244140625,2908400,246.0992889404297,0.0,MCD
2022-01-07,268.55999755859375,270.1700134277344,267.0,267.05999755859375,2209100,243.6993865966797,0.0,MCD
2022-01-10,266.7099914550781,266.7200012207031,262.010009765625,264.4100036621094,3122400,241.28118896484375,0.0,MCD
2022-01-11,263.489990234375,263.95001220703125,260.32000732421875,262.1199951171875,3206200,239.1914825439453,0.0,MCD
2022-01-12,263.3699951171875,263.95001220703125,260.2799987792969,260.9200134277344,3044000,238.096435546875,0.0,MCD
2022-01-13,261.4100036621094,263.8500061035156,260.5899963378906,261.4100036621094,2371300,238.54359436035156,0.0,MCD
2022-01-14,261.1400146484375,261.239990234375,257.1600036621094,257.7099914550781,3460100,235.16725158691406,0.0,MCD
2022-01-18,256.9599914550781,257.1000061035156,254.30999755859375,256.4800109863281,3076500,234.04483032226562,0.0,MCD
2022-01-19,257.54998779296875,257.95001220703125,255.0800018310547,255.22000122070312,2304700,232.8950653076172,0.0,MCD
2022-01-20,256.6199951171875,258.1099853515625,252.89999389648438,253.1300048828125,2602200,230.98785400390625,0.0,MCD
2022-01-21,254.0399932861328,258.4599914550781,253.69000244140625,254.58999633789062,3738100,232.32015991210938,0.0,MCD
2022-01-24,252.3800048828125,253.9199981689453,247.77999877929688,253.61000061035156,5153100,231.42588806152344,0.0,MCD
2022-01-25,250.8300018310547,252.52999877929688,247.07000732421875,250.67999267578125,3908600,228.75216674804688,0.0,MCD
2022-01-26,253.0,254.2100067138672,247.86000061035156,249.85000610351562,3839000,227.9948272705078,0.0,MCD
2022-01-27,249.60000610351562,252.4600067138672,245.25,248.74000549316406,5199000,226.98191833496094,0.0,MCD
2022-01-28,250.0,256.3500061035156,247.16000366210938,256.0899963378906,3833200,233.68893432617188,0.0,MCD
2022-01-31,255.02000427246094,259.5,254.44000244140625,259.45001220703125,3174200,236.7550506591797,0.0,MCD
2022-02-01,259.75,259.8999938964844,255.5800018310547,258.989990234375,2496500,236.3352813720703,0.0,MCD
2022-02-02,258.8299865722656,262.6099853515625,258.489990234375,262.2799987792969,2371500,239.33749389648438,0.0,MCD
2022-02-03,262.0,262.79998779296875,260.07000732421875,260.6400146484375,2242200,237.84097290039062,0.0,MCD
2022-02-04,259.8699951171875,261.7300109863281,257.7900085449219,260.05999755859375,1989700,237.3116912841797,0.0,MCD
