Date,Open,High,Low,Close,Volume,Adj Close,dividends,splits,Ticker
2021-12-20,46.040000915527344,46.58333206176758,45.866668701171875,46.400001525878906,31017900,44.04110336303711,0.0,0.0,WMT
2021-12-21,46.29999923706055,46.619998931884766,46.003334045410156,46.540000915527344,24620400,44.173988342285156,0.0,0.0,WMT
2021-12-22,46.633331298828125,46.663333892822266,46.176666259765625,46.599998474121094,17028000,44.230934143066406,0.0,0.0,WMT
2021-12-23,46.599998474121094,46.720001220703125,46.28333282470703,46.496665954589844,17592600,44.132850646972656,0.0,0.0,WMT
2021-12-27,46.53333282470703,46.956668853759766,46.52333450317383,46.91999816894531,16040700,44.534671783447266,0.0,0.0,WMT
2021-12-28,46.866668701171875,47.65666580200195,46.866668701171875,47.59333419799805,15783000,45.173763275146484,0.0,0.0,WMT
2021-12-29,47.5533332824707,47.84333419799805,47.439998626708984,47.56999969482422,13045200,45.15162658691406,0.0,0.0,WMT
2021-12-30,47.753334045410156,47.900001525878906,47.49333190917969,47.723331451416016,14949000,45.297149658203125,0.0,0.0,WMT
2021-12-31,47.733333587646484,48.3466682434082,47.63999938964844,48.22999954223633,17947800,45.7780647277832,0.0,0.0,WMT
2022-01-03,48.0,48.26333236694336,47.66999816894531,48.21666717529297,20706600,45.76541519165039,0.0,0.0,WMT
2022-01-04,48.01333236694336,48.380001068115234,47.253334045410156,47.33333206176758,33930000,44.92698669433594,0.0,0.0,WMT
2022-01-05,47.616668701171875,48.650001525878906,47.58000183105469,47.973331451416016,35418000,45.53443908691406,0.0,0.0,WMT
2022-01-06,47.87333297729492,48.21333312988281,47.46666717529297,47.84000015258789,21828900,45.40789031982422,0.0,0.0,WMT
2022-01-07,47.83333206176758,48.45333480834961,47.6533317565918,48.29666519165039,19723500,45.841346740722656,0.0,0.0,WMT
2022-01-10,48.47999954223633,48.529998779296875,47.706668853759766,48.20333480834961,22731600,45.75275421142578,0.0,0.0,WMT
2022-01-11,48.06999969482422,48.206668853759766,47.72666549682617,48.06666564941406,21668700,45.6230354309082,0.0,0.0,WMT
2022-01-12,47.893333435058594,47.98666763305664,47.66666793823242,47.813331604003906,18946800,45.3825798034668,0.0,0.0,WMT
2022-01-13,47.810001373291016,48.560001373291016,47.70333480834961,48.4900016784668,24252600,46.02485275268555,0.0,0.0,WMT
2022-01-14,48.073333740234375,48.87666702270508,48.073333740234375,48.35333251953125,26867400,45.8951301574707,0.0,0.0,WMT
2022-01-18,48.13666534423828,48.233333587646484,47.37666702270508,47.50666809082031,21123900,45.09151077270508,0.0,0.0,WMT
2022-01-19,47.51333236694336,48.33000183105469,47.30666732788086,47.97999954223633,22674000,45.54077911376953,0.0,0.0,WMT
2022-01-20,47.45000076293945,48.1533317565918,47.02333450317383,47.073333740234375,22387200,44.680206298828125,0.0,0.0,WMT
2022-01-21,47.073333740234375,47.41999816894531,46.686668395996094,46.72999954223633,27508200,44.35432434082031,0.0,0.0,WMT
2022-01-24,46.356666564941406,46.84333419799805,45.77000045776367,46.733333587646484,28699200,44.357486724853516,0.0,0.0,WMT
2022-01-25,46.663333892822266,46.790000915527344,45.60333251953125,45.71666717529297,29479500,43.39251708984375,0.0,0.0,WMT
2022-01-26,45.779998779296875,46.26333236694336,45.0533332824707,45.25,26185500,42.94955825805664,0.0,0.0,WMT
2022-01-27,45.63999938964844,46.36000061035156,45.12333297729492,45.279998779296875,27759000,42.97803497314453,0.0,0.0,WMT
2022-01-28,45.33333206176758,45.856666564941406,44.650001525878906,45.84000015258789,25131900,43.50957107543945,0.0,0.0,WMT
2022-01-31,45.6966667175293,46.68000030517578,45.56666564941406,46.60333251953125,20193600,44.234092712402344,0.0,0.0,WMT
2022-02-01,46.4033317565918,47.04999923706055,46.33000183105469,46.970001220703125,20323200,44.58212661743164,0.0,0.0,WMT
2022-02-02,47.0,47.21333312988281,46.71666717529297,46.95000076293945,18149700,44.563140869140625,0.0,0.0,WMT
2022-02-03,46.753334045410156,47.33000183105469,46.59000015258789,46.996665954589844,20741100,44.60742950439453,0.0,0.0,WMT
2022-02-04,46.96333312988281,47.0,46.116668701171875,46.44333267211914,22036500,44.08222961425781,0.0,0.0,WMT
2022-02-07,46.686668395996094,46.689998626708984,45.869998931884766,45.98666763305664,20010300,43.648780822753906,0.0,0.0,WMT
2022-02-08,46.106666564941406,46.413333892822266,45.836666107177734,45.996665954589844,19458900,43.65827941894531,0.0,0.0,WMT
2022-02-09,46.16666793823242,46.26333236694336,45.823333740234375,45.89666748046875,21473700,43.5633544921875,0.0,0.0,WMT
2022-02-10,45.516666412353516,45.66999816894531,45.1533317565918,45.36000061035156,27810600,43.05397415161133,0.0,0.0,WMT
